Node	distance(m)	dbm	displacement
    1.0	   69.9	  -46.9	    0.0
    2.0	  177.3	  -59.9	   32.3
    3.0	  176.9	  -59.9	   63.4
    4.0	  162.5	  -58.4	   59.7
    6.0	  193.1	  -61.4	   49.7
    9.0	  262.7	  -66.8	  131.4
   10.0	  144.7	  -56.4	  116.4
   11.0	  245.3	  -65.6	   61.9
   12.0	  264.4	  -66.9	   60.7
   13.0	  118.6	  -53.0	   30.6
   16.0	  267.4	  -67.1	   42.1
   17.0	  178.6	  -60.1	   50.0
   19.0	  282.5	  -68.0	   16.1
   20.0	  103.3	  -50.6	   46.2
   21.0	  222.8	  -63.9	   31.3
   22.0	  110.9	  -51.8	  112.4
   23.0	  197.5	  -61.8	   80.6
   24.0	  230.8	  -64.5	   47.0
   25.0	  169.3	  -59.1	   78.9
   26.0	  257.3	  -66.4	   69.2
   28.0	  190.1	  -61.2	   32.9
   29.0	  133.8	  -55.1	   27.6
   30.0	  142.1	  -56.1	   29.5
   31.0	  136.6	  -55.4	   33.9
   32.0	  195.3	  -61.6	   99.1
   34.0	  236.1	  -64.9	   73.1
   35.0	  185.2	  -60.7	   26.5
   36.0	  169.0	  -59.1	   99.1
