Nodes	Energy (mJ)
2.0	207.160585168
3.0	1478.37095464
4.0	161.995727392
5.0	501.369875
6.0	1271.58108923
7.0	391.085647221
8.0	779.448883047
9.0	1253.38816836
10.0	498.88390625
11.0	1566.19672839
12.0	1020.01437856
13.0	10.6049210783
14.0	478.34899042
15.0	340.434640072
16.0	1007.56761203
17.0	1720.32683868
18.0	1486.73701689
19.0	557.762050434
20.0	1423.80378024
21.0	953.515671937
22.0	51.6426877708
23.0	1402.48508547
24.0	1371.56083909
25.0	1167.25003266
26.0	1040.12613274
27.0	1404.72911174
28.0	1418.02158115
29.0	781.654163246
30.0	220.987071868
31.0	162.163323212
32.0	1581.22775968
33.0	21.2005961938
34.0	636.420514619
35.0	1684.39817668
36.0	1551.65097311
37.0	277.188761726
38.0	637.595901764
39.0	584.370328143
40.0	901.038282239
41.0	518.225560683
42.0	1415.99449513
43.0	990.336597489
44.0	841.188501914
45.0	944.940738054
46.0	1829.60330255
47.0	878.067918045
48.0	559.198494873
49.0	197.941991928
50.0	64.8877032835
51.0	308.763192472
52.0	1271.479617
53.0	1443.33291461
54.0	1295.2133098
55.0	1011.64289255
56.0	1720.41449735
57.0	50.1242260287
58.0	1768.9968537
59.0	990.099020415
60.0	495.750424789
61.0	600.999271436
62.0	741.15388934
63.0	1430.1298721
64.0	267.377251736
65.0	1771.36867358
66.0	129.12867895
67.0	1343.71986831
68.0	1299.02835376
69.0	177.599313905
70.0	268.743290424
71.0	451.866782334
72.0	931.885524824
73.0	514.842481324
74.0	1516.9319353
75.0	1885.45490379
76.0	1450.51494036
77.0	1971.5791383
78.0	1935.17354506
79.0	1190.83897415
80.0	821.596898805
81.0	545.887071361
82.0	1804.89283583
83.0	1811.09785727
84.0	633.534788462
85.0	949.363295136
86.0	1445.92644211
