Nodes	Energy(mJ)	Total(mJ)	Received	Lost
     11	     24	     67	     75	     35
     16	     31	     89	     83	     59
     21	     48	    134	    153	     69
     26	     57	    161	    180	     84
     31	     85	    231	    290	    108
     36	     92	    253	    346	     84
     41	     99	    275	    218	    244
     46	    116	    320	    362	    180
     51	    125	    349	    342	    248
     56	    132	    372	    453	    169
     61	    149	    417	    465	    237
     66	    180	    491	    538	    308
     71	    189	    520	    594	    300
     76	    189	    528	    575	    319
     81	    177	    508	    553	    282
     86	    213	    595	    675	    331
     91	    213	    602	    589	    417
     96	    245	    680	    782	    375
    101	    247	    692	    783	    383
