Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     342,       0,     248
       2,      16,       0,       1,       0,       0
       3,      16,       0,       1,       0,       0
       4,      16,       0,       1,       0,       0
       5,       7,       9,       0,       1,       0
       6,      16,       0,       0,       0,       1
       7,      16,       0,       0,       0,       1
       8,       0,      16,       0,       1,       0
       9,      16,       0,       1,       0,       0
      10,       6,      10,       1,       0,       0
      11,      16,       0,       0,       0,       1
      12,      16,       0,       1,       0,       0
      13,       0,      16,       0,       1,       0
      14,      16,       0,       0,       0,       1
      15,      16,       0,       1,       0,       0
      16,      16,       0,       1,       0,       0
      17,      16,       0,       1,       0,       0
      18,      16,       0,       1,       0,       0
      19,      16,       0,       0,       0,       1
      20,      16,       0,       0,       0,       1
      21,       0,      16,       0,       1,       0
      22,       0,      16,       0,       1,       0
      23,      16,       0,       1,       0,       0
      24,      16,       0,       1,       0,       0
      25,      16,       0,       1,       0,       0
      26,      16,       0,       0,       0,       1
      27,      16,       0,       0,       0,       1
      28,      16,       0,       0,       0,       1
      29,      16,       0,       1,       0,       0
      30,      16,       0,       0,       0,       1
      31,       0,      16,       0,       1,       0
      32,      16,       0,       1,       0,       0
      33,      16,       0,       1,       0,       0
      34,      16,       0,       1,       0,       0
      35,       0,      16,       0,       1,       0
      36,       0,      16,       0,       1,       0
      37,      16,       0,       1,       0,       0
      38,       0,      16,       0,       1,       0
      39,       0,      16,       0,       1,       0
      40,      16,       0,       1,       0,       0
      41,      16,       0,       0,       0,       1
      42,       0,      16,       0,       1,       0
      43,      16,       0,       1,       0,       0
      44,       0,      16,       0,       1,       0
      45,      16,       0,       1,       0,       0
      46,      16,       0,       1,       0,       0
      47,       0,      16,       0,       1,       0
      48,      16,       0,       0,       0,       1
      49,      16,       0,       1,       0,       0
      50,      16,       0,       0,       0,       1
      51,      16,       0,       1,       0,       0
